Name,SAT Critical Reading 25th percentile score,SAT Math 25th percentile score,SAT Writing 25th percentile score,ACT Composite 25th percentile score
The University of Alabama,490.0,500.0,480.0,22.0
Auburn University,520.0,540.0,510.0,24.0
Judson College,550.0,500.0,530.0,19.0
University of Montevallo,495.0,465.0,440.0,20.0
Samford University,500.0,510.0,500.0,23.0
University of South Alabama,440.0,435.0,420.0,20.0
Spring Hill College,480.0,480.0,480.0,21.0
Alaska Pacific University,465.0,450.0,435.0,20.0
University of Arizona,483.0,500.0,480.0,21.0
Embry-Riddle Aeronautical University-Prescott,500.0,540.0,490.0,23.0
Northern Arizona University,470.0,470.0,450.0,20.0
Prescott College,480.0,420.0,490.0,22.0
Lyon College,470.0,540.0,460.0,22.0
University of Arkansas at Pine Bluff,330.0,348.0,340.0,15.0
Arkansas State University-Main Campus,410.0,458.0,413.0,21.0
Arkansas Tech University,370.0,410.0,370.0,18.0
Central Baptist College,430.0,470.0,430.0,18.0
John Brown University,500.0,505.0,490.0,22.0
University of Arkansas-Fort Smith,350.0,430.0,390.0,19.0
Biola University,500.0,503.0,490.0,22.0
California Baptist University,430.0,420.0,420.0,18.0
California Institute of Technology,720.0,770.0,720.0,33.0
University of California-Berkeley,590.0,630.0,620.0,27.0
University of California-Davis,510.0,560.0,530.0,23.0
University of California-Irvine,460.0,530.0,490.0,21.0
University of California-Los Angeles,560.0,600.0,590.0,25.0
University of California-Riverside,470.0,500.0,480.0,20.0
University of California-San Diego,550.0,620.0,580.0,25.0
University of California-Santa Barbara,530.0,560.0,550.0,24.0
University of California-Santa Cruz,470.0,490.0,470.0,20.0
Chapman University,550.0,570.0,560.0,24.0
Concordia University-Irvine,453.0,450.0,450.0,20.0
San Diego Christian College,440.0,430.0,425.0,19.0
Claremont McKenna College,650.0,670.0,660.0,29.0
Dominican University of California,480.0,480.0,480.0,20.0
Fresno Pacific University,440.0,440.0,428.0,18.0
Harvey Mudd College,680.0,720.0,670.0,32.0
University of La Verne,460.0,470.0,460.0,20.0
La Sierra University,400.0,410.0,410.0,17.0
Loyola Marymount University,540.0,550.0,550.0,25.0
Menlo College,432.0,450.0,425.0,19.0
Mills College,540.0,500.0,520.0,23.0
Notre Dame de Namur University,430.0,430.0,430.0,18.0
Occidental College,600.0,610.0,610.0,27.0
Hope International University,433.0,420.0,423.0,17.0
Pacific Union College,450.0,440.0,440.0,18.0
University of the Pacific,500.0,530.0,500.0,22.0
Pomona College,690.0,690.0,690.0,31.0
University of San Francisco,530.0,540.0,530.0,23.0
Scripps College,640.0,640.0,660.0,29.0
Simpson University,460.0,450.0,450.0,21.0
Saint Mary's College of California,500.0,510.0,510.0,22.0
University of Southern California,620.0,660.0,640.0,29.0
Thomas Aquinas College,590.0,570.0,570.0,23.0
Westmont College,520.0,540.0,520.0,24.0
Whittier College,460.0,470.0,470.0,20.0
Adams State University,440.0,450.0,440.0,17.0
Colorado College,610.0,610.0,620.0,27.0
Colorado School of Mines,570.0,630.0,550.0,27.0
University of Denver,540.0,560.0,520.0,25.0
University of Bridgeport,410.0,420.0,410.0,18.0
Central Connecticut State University,450.0,460.0,450.0,19.0
Eastern Connecticut State University,460.0,470.0,470.0,20.0
University of New Haven,460.0,470.0,460.0,20.0
Quinnipiac University,490.0,510.0,500.0,22.0
Southern Connecticut State University,410.0,410.0,420.0,17.0
Trinity College,570.0,580.0,590.0,25.0
Wesleyan University,640.0,660.0,650.0,29.0
Yale University,700.0,710.0,710.0,32.0
Delaware State University,410.0,410.0,390.0,16.0
University of Delaware,520.0,540.0,520.0,24.0
Wesley College,360.0,360.0,360.0,16.0
American University,590.0,570.0,580.0,26.0
George Washington University,600.0,600.0,610.0,27.0
Howard University,490.0,480.0,480.0,21.0
Barry University,420.0,420.0,410.0,17.0
Lynn University,410.0,410.0,410.0,18.0
University of Central Florida,540.0,550.0,510.0,23.0
Edward Waters College,350.0,360.0,340.0,15.0
Embry-Riddle Aeronautical University-Daytona Beach,470.0,510.0,460.0,21.0
Florida Agricultural and Mechanical University,430.0,420.0,410.0,18.0
Florida Atlantic University,480.0,480.0,470.0,20.0
Flagler College-St Augustine,540.0,530.0,520.0,21.0
Florida International University,540.0,530.0,520.0,24.0
Florida Southern College,490.0,500.0,480.0,22.0
Florida State University,560.0,550.0,560.0,25.0
University of Florida,580.0,590.0,570.0,26.0
University of Miami,600.0,630.0,590.0,28.0
University of North Florida,540.0,540.0,500.0,23.0
Rollins College,550.0,550.0,540.0,24.0
University of South Florida-Main Campus,530.0,550.0,510.0,23.0
St Thomas University,410.0,408.0,400.0,16.0
Stetson University,540.0,530.0,510.0,23.0
Southeastern University,430.0,410.0,420.0,17.0
The University of Tampa,480.0,500.0,480.0,21.0
The University of West Florida,460.0,460.0,440.0,21.0
Berry College,530.0,530.0,520.0,24.0
Brewton-Parker College,400.0,410.0,370.0,17.0
Clayton  State University,440.0,420.0,420.0,18.0
Columbus State University,440.0,430.0,420.0,19.0
Covenant College,530.0,530.0,530.0,23.0
Emory University,620.0,650.0,640.0,29.0
Georgia Institute of Technology-Main Campus,600.0,660.0,610.0,28.0
Georgia College and State University,530.0,520.0,510.0,22.0
Georgia Southern University,520.0,510.0,490.0,21.0
University of Georgia,560.0,580.0,570.0,26.0
Kennesaw State University,500.0,490.0,470.0,21.0
Morehouse College,450.0,450.0,430.0,18.0
Oglethorpe University,520.0,510.0,490.0,22.0
Paine College,340.0,340.0,330.0,14.0
Savannah State University,390.0,380.0,370.0,16.0
Shorter University,410.0,410.0,410.0,18.0
Truett-McConnell College,430.0,410.0,400.0,17.0
Valdosta State University,480.0,470.0,450.0,20.0
Wesleyan College,450.0,430.0,420.0,17.0
University of West Georgia,440.0,430.0,420.0,18.0
