Name,SAT Critical Reading mean score,SAT Math mean score,SAT Writing mean score,ACT Composite mean score
The University of Alabama,555.0,570.0,540.0,26.0
Auburn University,570.0,595.0,565.0,27.0
Judson College,595.0,550.0,570.0,21.5
University of Montevallo,554.0,507.5,510.0,23.0
Samford University,565.0,560.0,555.0,25.5
University of South Alabama,495.0,500.0,470.0,23.0
Spring Hill College,540.0,540.0,545.0,24.0
Alaska Pacific University,520.0,480.0,501.5,22.0
University of Arizona,541.5,565.0,535.0,24.0
Embry-Riddle Aeronautical University-Prescott,565.0,595.0,545.0,26.0
Northern Arizona University,525.0,525.0,505.0,22.5
Prescott College,560.0,510.0,535.0,26.0
Lyon College,535.0,575.0,530.0,25.0
University of Arkansas at Pine Bluff,380.0,420.5,385.0,17.5
Arkansas State University-Main Campus,462.5,503.0,445.5,23.5
Arkansas Tech University,430.0,465.0,430.0,21.5
Central Baptist College,510.0,570.0,525.0,20.5
John Brown University,570.0,572.5,550.0,25.0
University of Arkansas-Fort Smith,445.0,525.0,470.0,22.0
Biola University,560.0,561.5,555.0,24.5
California Baptist University,490.0,490.0,480.0,21.0
California Institute of Technology,760.0,785.0,755.0,34.0
University of California-Berkeley,655.0,700.0,685.0,30.0
University of California-Davis,575.0,620.0,590.0,26.0
University of California-Irvine,530.0,600.0,555.0,24.0
University of California-Los Angeles,620.0,680.0,650.0,28.0
University of California-Riverside,525.0,565.0,535.0,22.5
University of California-San Diego,605.0,675.0,635.0,28.0
University of California-Santa Barbara,590.0,625.0,605.0,26.5
University of California-Santa Cruz,540.0,555.0,540.0,23.0
Chapman University,595.0,615.0,605.0,26.5
Concordia University-Irvine,501.5,505.0,500.0,22.5
San Diego Christian College,505.0,490.0,477.5,20.5
Claremont McKenna College,695.0,715.0,705.0,31.0
Dominican University of California,525.0,535.0,530.0,22.5
Fresno Pacific University,495.0,495.0,489.0,20.0
Harvey Mudd College,720.0,760.0,715.0,33.5
University of La Verne,505.0,525.0,510.0,22.5
La Sierra University,455.0,470.0,465.0,19.5
Loyola Marymount University,590.0,600.0,600.0,27.0
Menlo College,482.0,507.5,469.0,22.0
Mills College,590.0,555.0,570.0,25.5
Notre Dame de Namur University,490.0,495.0,470.0,20.0
Occidental College,650.0,655.0,655.0,29.0
Hope International University,485.5,474.0,476.5,19.5
Pacific Union College,510.0,510.0,500.0,21.5
University of the Pacific,570.0,605.0,570.0,25.5
Pomona College,725.0,735.0,735.0,32.5
University of San Francisco,580.0,590.0,580.0,25.0
Scripps College,686.5,680.0,705.0,30.5
Simpson University,515.0,515.0,505.0,22.0
Saint Mary's College of California,550.0,560.0,560.0,24.5
University of Southern California,670.0,710.0,695.0,31.0
Thomas Aquinas College,645.0,605.0,630.0,27.0
Westmont College,585.0,600.0,585.0,26.5
Whittier College,515.0,525.0,525.0,22.5
Adams State University,486.5,500.0,485.0,19.5
Colorado College,660.0,665.0,660.0,29.5
Colorado School of Mines,620.0,675.0,600.0,29.0
University of Denver,600.0,610.0,575.0,27.5
University of Bridgeport,455.0,465.0,455.0,20.0
Central Connecticut State University,495.0,510.0,500.0,22.0
Eastern Connecticut State University,505.0,510.0,515.0,22.0
University of New Haven,505.0,525.0,510.0,22.5
Quinnipiac University,535.0,560.0,545.0,24.5
Southern Connecticut State University,460.0,460.0,475.0,19.5
Trinity College,625.0,625.0,631.5,27.0
Wesleyan University,690.0,700.0,700.0,31.0
Yale University,750.0,750.0,755.0,33.5
Delaware State University,445.0,450.0,430.0,17.5
University of Delaware,575.0,595.0,575.0,26.5
Wesley College,415.0,417.5,407.5,19.5
American University,640.0,615.0,630.0,28.0
George Washington University,645.0,650.0,655.0,29.0
Howard University,540.0,535.0,530.0,23.5
Barry University,470.0,470.0,450.0,19.0
Lynn University,465.0,470.0,460.0,20.0
University of Central Florida,585.0,595.0,560.0,25.5
Edward Waters College,395.0,400.0,385.0,16.5
Embry-Riddle Aeronautical University-Daytona Beach,530.0,575.0,520.0,24.0
Florida Agricultural and Mechanical University,475.0,465.0,450.0,20.0
Florida Atlantic University,520.0,525.0,515.0,22.0
Flagler College-St Augustine,560.0,555.0,545.0,23.0
Florida International University,580.0,570.0,560.0,25.5
Florida Southern College,540.0,545.0,530.0,24.5
Florida State University,600.0,595.0,600.0,27.0
University of Florida,625.0,640.0,625.0,28.5
University of Miami,650.0,675.0,640.0,30.0
University of North Florida,580.0,575.0,545.0,24.5
Rollins College,595.0,600.0,595.0,26.5
University of South Florida-Main Campus,575.0,595.0,560.0,25.5
St Thomas University,460.0,454.0,445.0,18.5
